<<<<<<< HEAD
 (Half Day),
 and year: ,
""" does not exists","""が存在しません"
%  Delivered,％配信
% Amount Billed,銘打た％金額
% Billed,％銘打た
% Completed,% 完了
% Delivered,％配信
% Installed,％インストール
% Received,％受信
% of materials billed against this Purchase Order.,この発注に対する請求材料の％。
% of materials billed against this Sales Order,この受注に対して請求される材料の％
% of materials delivered against this Delivery Note,この納品書に対して納入材料の％
% of materials delivered against this Sales Order,この受注に対する納入材料の％
% of materials ordered against this Material Request,この素材のリクエストに対して命じた材料の％
% of materials received against this Purchase Order,材料の％は、この発注書に対して受信
'Actual Start Date' can not be greater than 'Actual End Date',「実際の開始日」は、「実際の終了日」より大きくすることはできません
'Based On' and 'Group By' can not be same,「に基づく」と「グループ化」は同じにすることはできません
'Days Since Last Order' must be greater than or equal to zero,「ラストオーダーからの日数」はゼロ以上でなければならない
'Entries' cannot be empty,「エントリ」は空にすることはできません
'Expected Start Date' can not be greater than 'Expected End Date',「期待される開始日」は、「終了予定日」より大きくすることはできません
'From Date' is required,「日付から 'が必要です
'From Date' must be after 'To Date','日から'日には 'の後でなければなりません
'Has Serial No' can not be 'Yes' for non-stock item,'シリアル番号'を有する非在庫項目の「はい」にすることはできません
'Notification Email Addresses' not specified for recurring invoice,請求書を定期的に指定されていない「通知の電子メールアドレス '
'Profit and Loss' type account {0} not allowed in Opening Entry,「損益」タイプアカウント{0}エントリの開口部に許可されていません
'To Case No.' cannot be less than 'From Case No.',「事件番号へ ' 「事件番号から 'より小さくすることはできません
'To Date' is required,「これまでの 'が必要です
'Update Stock' for Sales Invoice {0} must be set,納品書のための「更新在庫 '{0}を設定する必要があります
* Will be calculated in the transaction.,*トランザクションで計算されます。
1 Currency = [?] FractionFor e.g. 1 USD = 100 Cent,1通貨= [？]分数ために、例えば1ドル= 100セント
1. To maintain the customer wise item code and to make them searchable based on their code use this option,1 顧客ごとの商品コードを維持するために、それらのコード使用このオプションに基づいてそれらを検索可能に
"<a href=""#Sales Browser/Customer Group"">Add / Edit</a>","もし、ごhref=""#Sales Browser/Customer Group"">追加/編集</ A>"
"<a href=""#Sales Browser/Item Group"">Add / Edit</a>","もし、ごhref=""#Sales Browser/Item Group"">追加/編集</ A>"
"<a href=""#Sales Browser/Territory"">Add / Edit</a>","もし、ごhref=""#Sales Browser/Territory"">追加/編集</ A>"
